,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Naze,28.3667,129.4833,50.92,60,100,6.2,JP,1644185565
1,Saskylakh,71.9167,114.0833,-23.28,100,96,2.37,RU,1644185531
2,San Patricio,28.017,-97.5169,66.29,59,51,6.78,US,1644185272
3,Hermanus,-34.4187,19.2345,67.8,95,11,5.66,ZA,1644185566
4,Kapaa,22.0752,-159.319,79.12,72,75,3.0,US,1644185567
5,Albany,42.6001,-73.9662,25.27,67,78,1.99,US,1644185356
6,Kattivākkam,13.2167,80.3167,79.07,77,98,6.71,IN,1644185567
7,Richards Bay,-28.783,32.0377,70.75,93,38,1.54,ZA,1644185568
8,Bredasdorp,-34.5322,20.0403,67.28,85,0,4.74,ZA,1644185569
9,Beaupré,47.0443,-70.8953,11.95,75,100,1.01,CA,1644185570
10,Aklavik,68.2191,-135.0107,-16.64,92,100,19.39,CA,1644185570
11,Chokurdakh,70.6333,147.9167,-40.22,100,86,2.51,RU,1644185571
12,Caravelas,-17.7125,-39.2481,78.03,83,6,7.45,BR,1644185571
13,Bluff,-46.6,168.3333,55.8,63,1,7.67,NZ,1644185572
14,Hualmay,-11.0964,-77.6139,73.47,71,83,8.46,PE,1644185572
15,Jamestown,42.097,-79.2353,33.71,32,0,10.36,US,1644185564
16,Talnakh,69.4865,88.3972,-27.72,99,55,1.63,RU,1644185503
17,Ushuaia,-54.8,-68.3,62.22,81,100,6.8,AR,1644185444
18,Ribeira Grande,38.5167,-28.7,61.43,84,11,9.17,PT,1644185574
19,Hobart,-42.8794,147.3294,63.27,77,20,1.01,AU,1644185406
20,Nuuk,64.1835,-51.7216,5.61,56,75,17.27,GL,1644185396
21,Chui,-33.6971,-53.4616,68.52,47,7,13.09,UY,1644185576
22,Pevek,69.7008,170.3133,-24.14,99,23,0.4,RU,1644185576
23,Touros,-5.1989,-35.4608,81.5,72,1,12.48,BR,1644185577
24,Bathsheba,13.2167,-59.5167,79.41,73,75,16.11,BB,1644185577
25,Punta Arenas,-53.15,-70.9167,69.82,72,75,8.05,CL,1644185578
26,Isangel,-19.55,169.2667,80.04,90,100,13.96,VU,1644185579
27,Nantucket,41.2835,-70.0995,30.31,65,20,8.05,US,1644185441
28,Sola,-13.8833,167.55,82.92,77,100,17.45,VU,1644185579
29,Geraldton,-28.7667,114.6,68.41,60,100,14.97,AU,1644185580
30,Kamenka,51.3223,42.7678,26.74,96,97,6.93,RU,1644185581
31,Tasiilaq,65.6145,-37.6368,21.36,59,100,44.74,GL,1644185581
32,Yellowknife,62.456,-114.3525,0.41,91,100,10.36,CA,1644185582
33,Guerrero Negro,27.9769,-114.0611,68.85,22,0,9.95,MX,1644185582
34,Bengkulu,-3.8004,102.2655,75.56,88,100,9.28,ID,1644185583
35,Lianzhou,24.7811,112.3825,52.03,99,100,1.59,CN,1644185583
36,Agen,44.2,0.6333,50.5,87,100,11.5,FR,1644185584
37,Sørland,67.667,12.6934,35.46,62,100,14.45,NO,1644185585
38,Champerico,14.3,-91.9167,84.04,61,7,10.22,GT,1644185585
39,Clyde River,70.4692,-68.5914,-30.77,68,0,8.05,CA,1644185586
40,Arraial do Cabo,-22.9661,-42.0278,80.46,74,40,17.27,BR,1644185587
41,Mataura,-46.1927,168.8643,55.47,53,4,1.95,NZ,1644185581
42,Torbay,47.6666,-52.7314,14.58,81,100,3.0,CA,1644185588
43,Mercedes,-34.6515,-59.4307,72.52,54,52,13.04,AR,1644185589
44,Port Alfred,-33.5906,26.891,74.61,82,87,15.35,ZA,1644185515
45,Rome,43.2128,-75.4557,30.06,62,0,11.5,US,1644185590
46,Samagaltay,50.6022,95.0047,-19.75,96,70,1.16,RU,1644185590
47,Bucerías,20.75,-105.3333,76.98,69,75,11.5,MX,1644185591
48,Mount Gambier,-37.8333,140.7667,71.53,36,0,6.98,AU,1644185592
49,Atuona,-9.8,-139.0333,77.88,78,9,18.14,PF,1644185592
50,Siyabuswa,-25.1132,29.0445,67.5,68,36,10.2,ZA,1644185653
51,Aykhal,66.0,111.5,-11.04,98,100,5.64,RU,1644185654
52,Rikitea,-23.1203,-134.9692,79.25,70,3,17.38,PF,1644185399
53,Saint-Philippe,-21.3585,55.7679,76.59,81,100,13.15,RE,1644185654
54,Hithadhoo,-0.6,73.0833,82.02,72,21,13.31,MV,1644185598
55,Kirovo-Chepetsk,58.5539,50.0399,21.22,97,100,3.44,RU,1644185656
56,La Ronge,55.1001,-105.2842,15.33,95,100,8.03,CA,1644185656
57,Gēdo,9.0167,37.45,57.65,42,88,2.44,ET,1644185657
58,Butaritari,3.0707,172.7902,81.86,76,38,16.87,KI,1644185658
59,Castro,-24.7911,-50.0119,68.9,81,62,0.98,BR,1644185658
60,Pyapon,16.2833,95.6833,67.73,68,72,7.36,MM,1644185659
61,Rudnichnyy,59.617,52.4703,18.55,94,100,6.33,RU,1644185659
62,Qaanaaq,77.484,-69.3632,-13.5,60,30,7.11,GL,1644185660
63,Khatanga,71.9667,102.5,-16.67,98,99,8.7,RU,1644185660
64,Praia da Vitória,38.7333,-27.0667,59.76,100,75,16.6,PT,1644185661
65,Sur,22.5667,59.5289,70.45,68,1,6.4,OM,1644185662
66,San Luis Río Colorado,32.4631,-114.7767,78.6,9,0,16.93,MX,1644185662
67,Sretensk,52.2453,117.7093,-18.09,100,97,2.26,RU,1644185663
68,Amarpur,25.0333,86.9,55.56,76,5,2.64,IN,1644185664
69,Tuktoyaktuk,69.4541,-133.0374,-18.22,98,100,13.73,CA,1644185664
70,Baruun-Urt,46.6806,113.2792,-1.64,89,8,6.82,MN,1644185665
71,Puerto Escondido,15.85,-97.0667,83.23,61,0,4.61,MX,1644185665
72,Avarua,-21.2078,-159.775,82.45,83,65,14.97,CK,1644185666
73,Busselton,-33.65,115.3333,53.1,66,63,18.12,AU,1644185666
74,Hilo,19.7297,-155.09,76.24,83,100,10.36,US,1644185552
75,Khuzhir,53.1939,107.3397,12.13,88,75,4.61,RU,1644185533
76,Port Augusta,-32.5,137.7667,79.7,27,10,17.52,AU,1644185668
77,Vaini,-21.2,-175.2,77.16,100,100,16.11,TO,1644185668
78,Nome,64.5011,-165.4064,1.47,55,0,4.61,US,1644185374
79,Alta Floresta,-9.8756,-56.0861,76.93,91,75,1.79,BR,1644185669
80,Rørvik,64.8621,11.2373,32.11,86,75,6.91,NO,1644185670
81,Saint George,37.1041,-113.5841,63.07,17,0,3.0,US,1644185670
82,Faanui,-16.4833,-151.75,81.59,75,100,20.33,PF,1644185671
83,Hervey Bay,-25.2986,152.8535,71.04,75,42,13.96,AU,1644185671
84,Avera,33.194,-82.5271,48.88,52,100,6.44,US,1644185672
85,Sisa,-6.6167,-76.6915,86.52,95,100,1.32,PE,1644185673
86,Cape Town,-33.9258,18.4232,66.27,81,20,4.61,ZA,1644185670
87,Guaranésia,-21.2992,-46.8025,69.46,97,100,2.46,BR,1644185673
88,Pisco,-13.7,-76.2167,69.85,83,39,8.05,PE,1644185674
89,Provideniya,64.3833,-173.3,3.31,66,0,4.47,RU,1644185674
90,Östersund,63.1792,14.6357,25.61,100,100,9.22,SE,1644185675
91,Saint Paul Harbor,57.79,-152.4072,36.91,60,0,13.8,US,1644185677
92,Kozhva,65.1073,57.0459,14.34,82,79,9.86,RU,1644185678
93,Shimoda,34.6667,138.95,36.1,83,69,4.92,JP,1644185678
94,Qandala,11.472,49.8728,74.16,59,97,4.14,SO,1644185679
95,New Norfolk,-42.7826,147.0587,63.75,69,2,2.48,AU,1644185679
96,Sandpoint,48.2766,-116.5533,47.16,84,0,0.0,US,1644185589
97,Mar del Plata,-38.0023,-57.5575,64.87,83,100,23.0,AR,1644185658
98,Thompson,55.7435,-97.8558,-2.02,86,7,7.9,CA,1644185661
99,Taree,-31.9,152.4667,69.06,83,35,8.01,AU,1644185681
100,Lompoc,34.6391,-120.4579,79.79,40,0,18.41,US,1644185737
101,Chojnice,53.6955,17.557,38.3,96,100,14.29,PL,1644185742
102,Carutapera,-1.195,-46.02,76.69,92,100,6.49,BR,1644185743
103,Jaciara,-15.9653,-54.9683,75.15,89,100,1.41,BR,1644185744
104,Kifrī,34.6959,44.9661,46.87,46,90,2.75,IQ,1644185744
105,Vostok,46.4856,135.8833,-9.17,99,99,3.8,RU,1644185745
106,Maturin,9.75,-63.1767,84.04,55,51,10.38,VE,1644185745
107,Orbe,46.725,6.5307,44.13,96,100,19.66,CH,1644185746
108,Airai,-8.9266,125.4092,60.71,89,89,2.01,TL,1644185746
109,Puerto Ayora,-0.7393,-90.3518,85.96,88,43,5.99,EC,1644185747
110,Bagotville,-28.9833,153.4167,67.64,90,88,14.58,AU,1644185592
111,Olafsvik,64.8945,-23.7142,28.47,72,100,21.59,IS,1644185748
112,Araouane,18.9048,-3.5265,67.33,10,0,8.66,ML,1644185749
113,Varadero,23.1536,-81.2514,79.56,73,8,16.64,CU,1644185749
114,Cabo San Lucas,22.8909,-109.9124,74.61,61,0,1.01,MX,1644185750
115,Olinda,-8.0089,-34.8553,82.13,65,20,6.91,BR,1644185512
116,Visby,57.6409,18.296,35.82,87,100,8.05,SE,1644185751
117,Norman Wells,65.282,-126.8329,-12.96,64,75,19.57,CA,1644185752
118,Nouakchott,18.0858,-15.9785,67.93,64,6,14.16,MR,1644185752
119,Saint-Pierre,-21.3393,55.4781,76.68,83,0,6.91,RE,1644185753
120,Gao,16.6362,1.637,66.72,11,0,11.25,ML,1644185753
121,Vanavara,60.34,102.2797,-17.09,100,97,1.59,RU,1644185754
122,Warmbad,-28.45,18.7333,81.01,39,59,5.39,NA,1644185754
123,Kavieng,-2.5744,150.7967,82.36,74,61,2.39,PG,1644185755
124,Hong Kong,22.2855,114.1577,61.25,85,100,8.99,HK,1644185518
125,Ancud,-41.8697,-73.8203,71.42,70,8,7.47,CL,1644185756
126,Gorontalo,0.5412,123.0595,73.26,94,95,3.65,ID,1644185757
127,Grand Forks,47.9417,-97.4337,3.78,65,0,8.05,US,1644185757
128,Nikolskoye,59.7035,30.7861,35.87,95,100,12.24,RU,1644185758
129,Narsaq,60.9167,-46.05,7.02,83,100,1.61,GL,1644185758
130,Kochi,9.9399,76.2602,75.18,85,11,5.77,IN,1644185759
131,Los Llanos de Aridane,28.6585,-17.9182,62.35,70,40,18.99,ES,1644185760
132,Longyearbyen,78.2186,15.6401,17.44,67,20,12.66,SJ,1644185760
133,Nelson Bay,-32.7167,152.15,73.45,67,72,4.0,AU,1644185761
134,Poronaysk,49.2167,143.1167,-1.68,94,72,6.04,RU,1644185762
135,Semnan,35.5729,53.3971,35.44,48,0,0.0,IR,1644185762
136,Anadyr,64.75,177.4833,-19.7,76,0,6.71,RU,1644185763
137,Bell Ville,-32.6259,-62.6887,73.56,33,0,10.09,AR,1644185478
138,Gravelbourg,49.8834,-106.5512,34.07,90,100,8.81,CA,1644185764
139,Victor Harbor,-35.5667,138.6167,80.73,56,0,12.17,AU,1644185765
140,Machilipatnam,16.1667,81.1333,71.78,78,99,5.08,IN,1644185766
141,Namatanai,-3.6667,152.4333,82.9,71,35,3.74,PG,1644185766
142,Pio IX,-6.8375,-40.5792,76.05,64,31,5.55,BR,1644185767
143,São Filipe,14.8961,-24.4956,73.02,75,0,7.0,CV,1644185768
144,Edremit,39.5961,27.0244,38.95,93,0,5.75,TR,1644185768
145,Bayir,37.2687,28.2167,34.32,67,1,2.42,TR,1644185769
146,São João da Barra,-21.6403,-41.0511,77.47,85,0,20.54,BR,1644185769
147,Bambous Virieux,-20.3428,57.7575,79.21,89,40,9.22,MU,1644185770
148,Klaksvík,62.2266,-6.589,34.72,55,89,35.81,FO,1644185770
149,Esmeralda,21.8525,-78.1169,81.64,46,3,12.24,CU,1644185771
150,Yichun,47.7,128.9,-6.16,100,100,2.33,CN,1644185832
151,Khovd,48.0056,91.6419,-14.37,71,14,3.74,MN,1644185832
152,Port Hedland,-20.3167,118.5667,77.05,100,40,3.44,AU,1644185832
153,Port Elizabeth,-33.918,25.5701,74.1,68,0,5.75,ZA,1644185833
154,Pusztaszer,46.5508,19.9882,47.1,71,100,14.09,HU,1644185833
155,Hasaki,35.7333,140.8333,27.0,42,3,16.22,JP,1644185834
156,East London,-33.0153,27.9116,72.82,84,24,15.79,ZA,1644185835
157,Meulaboh,4.1363,96.1285,74.66,91,100,4.03,ID,1644185804
158,Hurghada,27.2574,33.8129,57.24,54,0,10.36,EG,1644185835
159,Dakoro,14.5106,6.765,65.44,11,0,12.01,NE,1644185836
160,Jumla,29.2747,82.1838,33.69,58,94,4.18,NP,1644185838
161,Salta,-24.7859,-65.4117,61.57,81,100,1.99,AR,1644185838
162,Ayagoz,47.9714,80.4392,-9.8,92,4,3.65,KZ,1644185839
163,Filingué,14.3521,3.3168,72.1,12,0,9.84,NE,1644185839
164,Sobolevo,54.4299,31.8996,30.13,95,100,15.1,RU,1644185840
165,George Town,5.4112,100.3354,76.95,93,40,2.3,MY,1644185777
166,Iqaluit,63.7506,-68.5145,-38.31,65,0,8.01,CA,1644185732
167,Bambanglipuro,-7.95,110.2833,76.24,87,100,4.21,ID,1644185841
168,Tiznit Province,29.5833,-9.5,62.33,37,6,3.51,MA,1644185841
169,Meridian,43.6121,-116.3915,43.92,57,0,1.01,US,1644185842
170,Belaya Gora,68.5333,146.4167,-43.91,100,67,1.83,RU,1644185843
171,Alofi,-19.0595,-169.9187,82.29,83,100,8.05,NU,1644185843
172,Dikson,73.5069,80.5464,-19.32,99,94,11.43,RU,1644185844
173,Pskov,57.8136,28.3496,33.71,93,100,11.18,RU,1644185844
174,Condega,13.365,-86.3985,78.19,49,97,8.41,NI,1644185845
175,Port Lincoln,-34.7333,135.8667,73.6,59,0,14.25,AU,1644185845
176,Vao,-22.6667,167.4833,80.4,82,77,2.3,NC,1644185846
177,Itaberaba,-12.5275,-40.3069,78.62,65,100,4.92,BR,1644185847
178,Khrebtovaya,56.7032,104.2494,6.21,98,100,3.0,RU,1644185848
179,Wasilla,61.5814,-149.4394,29.39,91,100,3.44,US,1644185716
180,Severo-Kuril'sk,50.6789,156.125,29.26,90,100,12.55,RU,1644185670
181,Laas,46.6166,10.7002,41.88,66,100,4.76,IT,1644185849
182,Casa Branca,-21.7739,-47.0864,76.03,94,100,3.47,BR,1644185850
183,Ilulissat,69.2167,-51.1,1.42,71,100,8.05,GL,1644185850
184,Port Pirie,-33.1833,138.0167,79.97,31,1,17.98,AU,1644185851
185,Natal,-5.795,-35.2094,82.62,69,0,9.22,BR,1644185851
186,Lagoa,39.05,-27.9833,59.83,86,46,14.97,PT,1644185710
187,Cherskiy,68.75,161.3,-31.4,100,22,1.77,RU,1644185852
188,Lorengau,-2.0226,147.2712,81.86,80,100,6.46,PG,1644185853
189,Tucuruí,-3.7661,-49.6725,76.12,93,97,3.22,BR,1644185853
190,Cananea,30.95,-110.3,60.75,19,0,6.62,MX,1644185853
191,Hobyo,5.3505,48.5268,76.33,70,66,17.25,SO,1644185854
192,Mahrīz,31.5917,54.4318,37.9,26,0,1.92,IR,1644185854
193,Odlābāri,26.8333,88.6167,58.64,72,94,2.64,IN,1644185855
194,Donnacona,46.6804,-71.7239,11.03,56,100,4.61,CA,1644185778
195,Hambantota,6.1241,81.1185,74.64,73,92,8.41,LK,1644185855
196,Taltal,-25.4,-70.4833,70.09,64,23,4.16,CL,1644185856
197,Lüderitz,-26.6481,15.1594,69.46,71,37,3.44,NA,1644185856
198,Santa Maria,-29.6842,-53.8069,76.77,34,5,10.36,BR,1644185857
199,Lavrentiya,65.5833,-171.0,-11.72,92,15,6.33,RU,1644185858
200,Kholm-Zhirkovskiy,55.5189,33.4731,28.65,96,100,13.02,RU,1644185918
201,Valparaíso,-33.0393,-71.6273,66.47,80,75,5.75,CL,1644185905
202,Khani,41.9563,42.9566,24.37,98,100,0.49,GE,1644185920
203,Mossamedes,-15.1961,12.1522,74.48,66,100,11.81,AO,1644185920
204,Goundam,16.4145,-3.6708,69.53,11,0,10.51,ML,1644185921
205,Nokaneng,-19.6667,22.2667,70.95,63,30,6.44,BW,1644185921
206,Soto la Marina,23.7667,-98.2167,69.78,44,33,14.88,MX,1644185922
207,Brae,60.3964,-1.353,39.11,54,61,34.99,GB,1644185922
208,Husavik,66.0449,-17.3389,21.11,83,99,5.82,IS,1644185923
209,Singaraja,-8.112,115.0882,77.97,84,98,2.86,ID,1644185923
210,Pakxan,18.3778,103.6601,64.53,82,86,3.49,LA,1644185924
211,Gondanglegi,-7.7479,112.0132,74.43,96,100,4.25,ID,1644185924
212,Bethel,41.3712,-73.414,28.49,62,0,6.91,US,1644185925
213,Cururupu,-1.8283,-44.8683,75.78,93,77,3.4,BR,1644185926
214,Luksuhin,14.0967,120.8808,72.3,89,86,8.66,PH,1644185926
215,Leningradskiy,69.3833,178.4167,-23.64,99,27,5.12,RU,1644185703
216,Turtas,58.9417,69.1325,10.4,93,100,6.71,RU,1644185927
217,Bayan,46.0833,127.4,-12.44,100,93,2.68,CN,1644185928
218,Sorong,-0.8833,131.25,79.43,83,99,10.56,ID,1644185928
219,Kargala,56.6208,83.9607,5.95,92,99,5.44,RU,1644185929
220,Kerman,30.2832,57.0788,30.06,51,0,0.0,IR,1644185929
221,Ishinomaki,38.4167,141.3,26.6,67,12,15.9,JP,1644185930
222,Savannah Bight,16.45,-85.85,78.85,67,22,5.93,HN,1644185913
223,Sidi Ali,36.0998,0.4206,50.61,85,0,7.05,DZ,1644185931
224,San Cristobal,7.7669,-72.225,73.58,62,81,1.16,VE,1644185817
225,Eureka,40.8021,-124.1637,68.67,53,3,5.1,US,1644185931
226,Bara,10.3744,10.7288,70.7,21,0,8.99,NG,1644185932
227,Kaduqli,11.0167,29.7167,67.62,16,14,11.65,SD,1644185932
228,Foam Lake,51.65,-103.5343,15.82,95,82,8.32,CA,1644185805
229,São Desidério,-12.3633,-44.9733,70.97,95,100,4.56,BR,1644185933
230,San Borja,-14.8167,-66.85,71.11,97,99,5.79,BO,1644185934
231,Mocoa,1.1493,-76.6466,78.03,87,78,2.33,CO,1644185634
232,Karlstad,59.3793,13.5036,28.96,100,26,5.75,SE,1644185935
233,Port Macquarie,-31.4333,152.9167,68.36,75,86,13.51,AU,1644185935
234,Burgeo,47.6167,-57.6152,15.22,68,85,15.3,CA,1644185936
235,Sabang,5.8933,95.3214,78.12,84,100,11.95,ID,1644185936
236,Esperance,-33.8667,121.9,62.82,59,63,24.92,AU,1644185937
